"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"truncate","Budget cuts forced the team to truncate the research phase significantly.","단축하다","예산 삭감으로 팀은 연구 단계를 크게 단축해야 했다.","短縮する","予算削減によりチームは研究フェーズを大幅に短縮せざるを得なかった。","缩短","预算削减迫使团队大幅缩短研究阶段。"
"turbulent","The airline industry endured a turbulent period of unprecedented financial losses.","격동의","항공 산업은 전례 없는 재정적 손실의 격동의 시기를 견뎠다.","激動の","航空業界は前例のない財務損失の激動の時期を耐え抜いた。","动荡的","航空业经历了一段前所未有的财务损失的动荡时期。"
"ubiquitous","Smartphones have become ubiquitous tools in the modern business environment.","어디에나 있는","스마트폰은 현대 비즈니스 환경에서 어디에나 있는 도구가 되었다.","至る所にある","スマートフォンは現代のビジネス環境で至る所にあるツールとなった。","无处不在的","智能手机已成为现代商业环境中无处不在的工具。"
"ulterior","The board suspected that the investor had ulterior motives for the acquisition.","이면의","이사회는 투자자가 인수에 대해 이면의 동기를 가지고 있다고 의심했다.","隠された","取締役会は投資家が買収に隠された動機を持っていると疑った。","隐蔽的","董事会怀疑投资者收购的背后有隐蔽的动机。"
"ultimatum","The supplier issued an ultimatum demanding payment within thirty business days.","최후통첩","공급업체는 30 영업일 이내에 지불을 요구하는 최후통첩을 발부했다.","最後通牒","サプライヤーは30営業日以内の支払いを要求する最後通牒を発した。","最后通牒","供应商发出了要求在三十个工作日内付款的最后通牒。"
"unanimous","The shareholders reached a unanimous decision to approve the merger proposal.","만장일치의","주주들은 합병 제안을 승인하는 만장일치 결정에 도달했다.","全会一致の","株主は合併提案を承認する全会一致の決定に達した。","一致的","股东们做出了一致的决定批准合并提案。"
"undermine","Persistent rumors about layoffs could undermine employee morale and productivity.","약화시키다","해고에 대한 지속적인 소문이 직원 사기와 생산성을 약화시킬 수 있다.","弱体化させる","リストラに関する持続的な噂が従業員の士気と生産性を弱体化させる可能性がある。","削弱","关于裁员的持续谣言可能会削弱员工的士气和生产力。"
"underscore","The audit results underscore the urgent need for improved internal controls.","강조하다","감사 결과는 개선된 내부 통제의 긴급한 필요성을 강조한다.","強調する","監査結果は改善された内部統制の緊急な必要性を強調している。","强调","审计结果强调了改善内部控制的迫切需要。"
"undertake","The firm agreed to undertake a comprehensive review of its hiring practices.","착수하다","회사는 채용 관행에 대한 포괄적인 검토를 착수하기로 합의했다.","着手する","企業は採用慣行の包括的なレビューに着手することに合意した。","承担","公司同意承担对其招聘做法的全面审查。"
"unilateral","The CEO's unilateral decision to close the factory angered the labor union.","일방적인","공장을 폐쇄하겠다는 CEO의 일방적인 결정이 노조를 분노시켰다.","一方的な","工場を閉鎖するというCEOの一方的な決定が労働組合を怒らせた。","单方面的","CEO单方面决定关闭工厂激怒了工会。"
"unprecedented","The company achieved unprecedented growth during the fourth fiscal quarter.","전례 없는","회사는 4분기 회계연도 동안 전례 없는 성장을 달성했다.","前例のない","会社は第4四半期に前例のない成長を達成した。","前所未有的","公司在第四财季实现了前所未有的增长。"
"unscrupulous","Unscrupulous competitors engaged in price-fixing that violated antitrust laws.","비양심적인","비양심적인 경쟁사들이 반독점법을 위반하는 가격 담합에 참여했다.","不道徳な","不道徳な競合他社が独占禁止法に違反する価格カルテルに関与した。","无良的","无良的竞争对手参与了违反反垄断法的价格操纵。"
"uphold","The appellate court chose to uphold the original ruling in the case.","유지하다","항소 법원은 사건에서 원래 판결을 유지하기로 결정했다.","支持する","控訴裁判所は事件の原判決を支持することを選んだ。","维持","上诉法院选择维持该案的原判。"
"usurp","The vice president was accused of trying to usurp the CEO's authority.","찬탈하다","부사장은 CEO의 권한을 찬탈하려 했다는 혐의를 받았다.","奪い取る","副社長はCEOの権限を奪い取ろうとした疑いをかけられた。","篡夺","副总裁被指控试图篡夺CEO的权力。"
"utilitarian","The office redesign favored a utilitarian layout over aesthetic considerations.","실용적인","사무실 재설계는 미적 고려보다 실용적인 레이아웃을 선호했다.","実用的な","オフィスの再設計は美的考慮よりも実用的なレイアウトを優先した。","实用主义的","办公室重新设计偏向实用主义的布局而非审美考虑。"
